Adonis                                  a beautiful man
a cappella                              without accompaniment
a priori                                reasoning based on general principles
aback                                   unexpected, surprised
abacus                                  counting device
abandon                                 desert, forsake
abase                                   degrade
abash                                   humiliate, embarrass
abate                                   lessen, subside
abatement                               alleviation
abbey                                   monastery
abbreviate                              shorten
abdicate                                relinquish power or position
abdomen                                 belly
abduct                                  kidnap
aberrant                                abnormal
abet                                    aid, encourage (typically of crime)
abeyance                                postponement
abhor                                   detest
abide                                   submit, endure
abject                                  wretched
abjure                                  renounce
ablate                                  cut away
ablution                                cleansing
abode                                   home
abolish                                 annul, eliminate
abominable                              detestable
aboriginal                              indigenous, native
abortive                                unsuccessful
abound                                  be plentiful
abreast                                 side-by-side
abridge                                 shorten
abroad                                  overseas
abrogate                                cancel
abrupt                                  ending suddenly
abscess                                 infected and inflamed tissue
abscond                                 to run away (secretly)
absolve                                 acquit, free from blame
abstain                                 refrain
abstract                                theoretical, intangible
abstruse                                difficult to understand
abut                                    touch, border on
abysmal                                 deficient, sub par
abyss                                   chasm
academy                                 school
accede                                  yield, agree
accentuate                              emphasize
accession                               attainment of rank
accessory                               attachment, accomplice
acclaim                                 recognition, fame
acclimate                               accustom oneself to a climate, adjust
acclivity                               ascent, incline
accolade                                applause, tribute
accommodate                             adapt, assist, house
accomplice                              one who aids a lawbreaker
accord                                  agreement
accost                                  to approach and speak to someone aggressively
accouter                                equip, clothe
accredit                                authorize
accrete                                 grow larger
accrue                                  accumulate
accumulate                              amass
acerbic                                 caustic, bitter (of speech)
acme                                    summit, zenith
acolyte                                 assistant (usually to clergy)
acoustic                                pertaining to sound
acquaint                                familiarize
acquiesce                               agree passively
acquit                                  free from blame
acrid                                   pungent, caustic, choking
acrimonious                             caustic, resentful
acrophobia                              fear of heights
actuate                                 induce, start
acumen                                  insight
acute                                   sharp, intense
ad nauseam                              to a ridiculous degree
ad-lib                                  improvise
adage                                   proverb
adamant                                 insistent
adapt                                   adjust to changing conditions
adaptable                               pliable
addendum                                appendix, supplement
adduce                                  offer as example
adept                                   skillful
adhere                                  stick to
adherent                                supporter
adieu                                   farewell
adipose                                 fatty
adjacent                                next to
adjourn                                 suspend, discontinue
adjudicate                              judge
adjunct                                 addition
administer                              manage
admissible                              allowable
admonish                                warn gently
