ibidem                                  in the same place
ichthyology                             study of fish
iconoclast                              one who rails against sacred institutions
idiosyncrasy                            peculiarity
idyllic                                 natural, picturesque
ignoble                                 dishonorable
ilk                                     class, clan
illicit                                 unlawful
illimitable                             limitless
illusory                                fleeting, deceptive
illustrious                             famous
imbibe                                  drink
imbue                                   infuse
immaculate                              spotlessly clean
immaterial                              irrelevant
immense                                 huge
immerse                                 bathe, engross
imminent                                about to happen
immobile                                still
immolate                                sacrifice (especially by fire)
immunity                                exemption from prosecution
immure                                  build a wall around
immutable                               unchangeable, absolute
impair                                  injure
impale                                  pierce
impartial                               not biased
impasse                                 deadlock
impassioned                             fiery, emotional
impassive                               calm
impeach                                 accuse, charge
impeccable                              faultless
impecunious                             indigent
impede                                  hinder
impediment                              obstacle
impel                                   urge, force
impending                               approaching, imminent
imperative                              vital, pressing
imperceptible                           slight, intangible
imperialism                             colonialism
imperil                                 endanger
imperious                               domineering
impertinent                             insolent
imperturbable                           calm, unflappable
impervious                              impenetrable, unreceptive
impetuous                               impulsive
impetus                                 stimulus, spark
impinge                                 encroach, touch
implant                                 instill
implausible                             unlikely, improbable
implement                               carry out, execute
implicate                               incriminate
implicit                                implied
implore                                 entreat
implosion                               bursting inward
impolitic                               unwise, inappropriate
imponderable                            difficult to estimate
import                                  meaning, significance
importune                               urgent request
imposing                                intimidating, stately
imposition                              intrusion, burden
impotent                                powerless
impound                                 seize
imprecation                             curse, inculcate
impregnable                             invincible
impresario                              promoter
impressionable                          susceptible, easily influenced
impressionism                           a style of painting
imprimatur                              sanction
impromptu                               spontaneous
improvise                               invent
impudence                               insolence
impugn                                  criticize, accuse
impulse                                 inclination, sudden desire
impulsive                               to act suddenly
impunity                                exemption from harm
impute                                  charge
in toto                                 in full, entirely
inadvertent                             unintentional
inadvisable                             not recommended
inalienable                             that which cannot be taken away
inane                                   vacuous, stupid
inanimate                               inorganic, lifeless
inaudible                               cannot be heard
inaugurate                              induct (with a ceremony)
inborn                                  innate
incalculable                            immeasurable
incandescent                            brilliant
incantation                             chant
incapacitate                            disable
incarcerate                             imprison
incarnate                               embody, personify
incendiary                              inflammatory
incense                                 enrage
incentive                               stimulus, inducement
incessant                               unceasing
incest                                  sex among family members
inchoate                                just begun
incidental                              insignificant, minor
incinerate                              burn
incipient                               beginning
incision                                cut
incisive                                keen, penetrating
incite                                  foment, provoke
