Koran                                   holy book of Islam
kaleidoscope                            series of changing events
keen                                    of sharp mind
ken                                     purview, range of comprehension
kindle                                  arouse, inspire
kindred                                 similar, related by blood
kinetic                                 pertaining to motion
kismet                                  fate, the will of Allah
kite                                    bad check
kitsch                                  trashy art
kleptomania                             impulse to steal
knave                                   con man
knead                                   massage, to fold, press, and stretch a substance into a uniform mass
knell                                   sound of a bell
kowtow                                  behave obsequiously
kudos                                   acclaim
