pachyderm                               elephant
pacifist                                one who opposes all violence
pacify                                  appease
pact                                    agreement
paean                                   a song of praise
pagan                                   heathen, ungodly
page                                    attendant
pageant                                 exhibition, show
pains                                   great effort, attention to detail
painstaking                             taking great care, thorough
palatial                                grand, splendid
palaver                                 babble, nonsense
Paleolithic                             stone age
paleontologist                          one who studies fossils
pall                                    to become dull or weary
palliate                                assuage
pallid                                  pale, sallow
palpable                                touchable
palpitate                               beat, throb
palsy                                   paralysis
paltry                                  scarce
pan                                     criticize
panacea                                 cure-all
panache                                 flamboyance
pandemic                                widespread, plague
pandemonium                             din, commotion
pander                                  cater to people’s baser instincts
panegyric                               praise
pang                                    short sharp pain
panoply                                 full suit of armor
panorama                                vista
pant                                    gasp, puff
pantomime                               mime
pantry                                  storeroom
papyrus                                 paper
parable                                 allegory
paradigm                                a model
paragon                                 standard of excellence
parameter                               limit
paramount                               chief, foremost
paramour                                lover
paranoid                                obsessively suspicious, demented
paranormal                              supernatural
parapet                                 rampart, defense
paraphernalia                           equipment
paraphrase                              restatement
parcel                                  package
parchment                               paper
pare                                    peel
parenthetical                           in parentheses
pariah                                  outcast
parish                                  fold, church
parity                                  equality
parlance                                local speech
parlay                                  increase
parley                                  conference
parochial                               provincial
parody                                  imitation, ridicule
parole                                  release
paroxysm                                outburst, convulsion
parrot                                  mimic
parry                                   avert, ward off
parsimonious                            stingy
parson                                  clergyman
partake                                 share, receive, consume
partial                                 incomplete
partiality                              bias
parting                                 farewell, severance
partisan                                supporter
partition                               division
parvenu                                 newcomer, social climber
pasquinade                              satire
passim                                  here and there
passé                                   outmoded
pastel                                  pale
pasteurize                              disinfect
pastoral                                rustic
patent                                  obvious
paternal                                fatherly
pathetic                                pitiful
pathogen                                agent causing disease
pathogenic                              causing disease
pathos                                  emotion
patrician                               aristocrat
patrimony                               inheritance
patronize                               condescend
patronymic                              a name formed form the name of a father
patter                                  walk lightly
paucity                                 scarcity
paunch                                  stomach
pauper                                  poor person
pavilion                                tent
pawn (noun)                             tool, stooge
pawn (verb)                             pledge
pax                                     peace
peaked                                  wan, pale, haggard
peal                                    reverberation, outburst
peccadillo                              a minor fault
peculate                                embezzle
peculiar                                unusual
peculiarity                             characteristic
pedagogical                             pertaining to teaching
pedagogue                               dull, formal teacher
pedant                                  pedagogue
pedantic                                bookish
peddle                                  sell
pedestrian                              common
pedigree                                genealogy
peerage                                 aristocracy
peevish                                 cranky
pejorative                              insulting
pell-mell                               in a confused manner
pellucid                                transparent
pen                                     write
penance                                 atonement
penchant                                inclination
pend                                    depend, hang
pending                                 not decided, awaiting
penitent                                repentant
pensive                                 sad
penurious                               stingy
penury                                  poverty
peon                                    common worker
per se                                  in itself
perceptive                              discerning
percolate                               ooze, permeate
perdition                               damnation
peregrination                           wandering
peremptory                              dictatorial
perennial                               enduring, lasting
perfectionist                           purist, precisionist
perfidious                              treacherous (of a person)
perforate                               puncture
perforce                                by necessity
perfunctory                             careless
perigee                                 point nearest to the earth
perilous                                dangerous
peripatetic                             walking about
periphery                               outer boundary
perish                                  die
perishable                              decomposable
perjury                                 lying
permeate                                spread throughout
permutation                             reordering
pernicious                              destructive, evil
peroration                              conclusion
perpendicular                           at right angles
perpetrate                              commit
perpetual                               continuous, everlasting
perpetuate                              cause to continue
perpetuity                              eternity
perplex                                 puzzle, bewilder
perquisite                              reward, bonus
persecute                               harass
persevere                               persist, endure
persona                                 social facade
personable                              charming, friendly
personage                               official, dignitary
personify                               embody, exemplify
personnel                               employees
perspicacious                           keen
perspicacity                            discernment, keenness
persuasive                              convincing
pert                                    flippant, bold
pertain                                 to relate
pertinacious                            persevering
pertinent                               relevant
perturbation                            agitation
peruse                                  read carefully
pervade                                 permeate
pessimist                               cynic, naysayer
pestilence                              disease
petite                                  small
petition                                a written request
petrify                                 calcify, shock
petrology                               study of rocks
pettifogger                             unscrupulous lawyer
petty                                   trivial, niggling
petulant                                irritable, peevish
phantasm                                apparition
phenomena                               unusual natural events
philanthropic                           charitable
philanthropist                          altruist
