Sabbath                                 day of rest
sabbatical                              vacation
saber                                   sword
sabotage                                treason, destruction
saccharine                              sugary, overly sweet tone
sacerdotal                              priestly
sack                                    pillage
sacrament                               rite
sacred                                  cow idol, taboo
sacrilege                               blasphemy
sacrosanct                              sacred
saddle                                  encumber
sadist                                  one who takes pleasure in hurting others
safari                                  expedition
saga                                    story
sagacious                               wise
sage                                    wise person
salacious                               licentious
salient                                 prominent
saline                                  salty
sallow                                  sickly complected
sally                                   sortie, attack
salutary                                good, wholesome
salutation                              salute, greeting
salvation                               redemption
salve                                   medicinal ointment
salvo                                   volley, gunfire
sanctify                                consecrate
sanctimonious                           self-righteous
sanction                                approval
sanctuary                               refuge
sang-froid                              coolness under fire
sanguinary                              gory, murderous
sanguine                                cheerful
sans                                    without
sapid                                   interesting
sapient                                 wise
sarcophagus                             stone coffin
sartorial                               pertaining to clothes
satanic                                 pertaining to the Devil
satchel                                 bag
sate                                    satisfy fully
satiate                                 satisfy fully
satire                                  ridicule
saturate                                soak
saturnine                               gloomy
satyr                                   demigod, goat-man
saunter                                 stroll
savanna                                 grassland
savant                                  scholar
savoir-faire                            tact, polish
savor                                   enjoy, relish
savory                                  appetizing
savvy                                   perceptive, shrewd
scabrous                                difficult
scant                                   inadequate, meager
scapegoat                               one who takes blame for others
scarify                                 criticize
scathe                                  injure, denounce
scepter                                 a rod, staff
scheme                                  plot, system, diagram
schism                                  rift
scintilla                               speck
scintillate                             sparkle
scion                                   offspring
scoff                                   jeer, dismiss
scone                                   biscuit
scorn                                   disdain, reject
scornful                                scornful, sarcastic
scoundrel                               unprincipled person
scour                                   clean by rubbing, search
scourge                                 affliction
scruples                                misgivings
scrupulous                              principled, fastidious
scrutinize                              examine closely
scurf                                   dandruff
scurrilous                              abusive, insulting
scurry                                  move quickly
scuttle                                 to sink (a ship)
scythe                                  long, curved blade
sear                                    burn
sebaceous                               like fat
secede                                  withdraw
secluded                                remote, isolated
seclusion                               solitude
sectarian                               denominational
secular                                 worldly, nonreligious
secure                                  make safe
sedation                                state of calm
sedentary                               stationary, inactive
sedition                                treason, inciting rebellion
seduce                                  lure
sedulous                                diligent
seedy                                   rundown, ramshackle
seemly                                  proper, attractive
seethe                                  fume, resent
seismic                                 pertaining to earthquakes
seismology                              study of earthquakes
self-effacing                           modest
semantics                               study of word meanings
semblance                               likeness
seminal                                 fundamental, decisive
semper fidelis                          always loyal
senescence                              old age
senescent                               aging
seniority                               privilege due to length of service
sensational                             outstanding, startling
sensible                                wise, prudent
sensory                                 relating to the senses
sensualist                              epicure
sensuous                                appealing to the senses, enjoying luxury
sententious                             concise
sentient                                conscious
sentinel                                watchman
