vacillate                               waver
vacuous                                 inane, empty
vagary                                  whim
vain                                    unsuccessful
vainglorious                            conceited
valediction                             farewell speech
valiant                                 brave
validate                                affirm, authenticate
valor                                   bravery
vanguard                                leading position
vanquish                                conquer
vapid                                   vacuous, insipid
variance                                discrepancy
vassal                                  subject, subordinate
vaunt                                   brag
vehement                                adamant
venal                                   mercenary, for the sake of money
vendetta                                grudge, feud
veneer                                  false front, facade
venerable                               revered
venial                                  excusable
venom                                   poison, spite
venture                                 risk, speculate
venturesome                             bold, risky
venue                                   location
veracity                                truthfulness
veranda                                 porch
verbatim                                word for word, literal
verbose                                 wordy
verdant                                 green, lush
verdict                                 decision, judgment
vernacular                              common speech
vertigo                                 dizziness
vestige                                 trace, remnant
veto                                    reject
vex                                     annoy
viable                                  capable of surviving, feasible
viaduct                                 waterway
viand                                   food
vicious                                 evil, cruel
vicissitude                             changing fortunes
victuals                                food
vie                                     compete
vigil                                   watch, sentry duty
vigilant                                on guard
vignette                                scene
vigor                                   vitality
vilify                                  defame, malign
vindicate                               free from blame
vindictive                              revengeful
virile                                  manly, strong
virtuoso                                highly skilled artist
virulent                                deadly, poisonous, infectious
visage                                  facial expression
viscid                                  thick, gummy
visitation                              a formal visit
vital                                   necessary
vitiate                                 spoil, ruin
vitreous                                glassy
vitriolic                               scathing
vituperative                            abusive, critical language
vivacious                               lively, high-spirited
vivid                                   lifelike, clear
vivisection                             experimentation on animals, dissection
vocation                                occupation
vociferous                              adamant, clamoring
vogue                                   fashion, chic
volant                                  agile
volatile                                unstable, precarious
volition                                free will
voluble                                 talkative
voluminous                              bulky, extensive
voracious                               hungry
votary                                  fan, aficionado
vouchsafe                               confer, bestow
vulgarity                               obscenity
vulnerable                              susceptible
vulpine                                 fox-like, cunning
