bakom                                   behind / mögött(e)
bredvid                                 beside, adjacent to / mellett(e), szomszédságában
framför                                 before / előtt(e)
i                                       in / -ban
längst till höger                       at the far right / a jobb szélen
längst till vänster                     at the far left / a bal szélen
mellan                                  between / között
mitt emot                               opposite / szemközt, szemben vele
mitt på                                 on/at the middle of... / vmi. közepén van/áll
på                                      on / -on, rajta
runt omkring                            around / vmi. körül
trots                                   despite, in spite of / [vmi] ellenére
under                                   under / alatt(a)
ur                                      from, out of / -ból
åt                                      at, to, towards, about / -nak/nek, felé
över                                    over / felett(e)
